"""No (Text)""","""Marga (Text)""","""Marga (Link)""","""Angkola (Text)""","""Karo (Text)""","""Mandailing (Text)""","""Pakpak (Text)""","""Simalungun (Text)""","""Toba (Text)""","""Keterangan (Text)""","""Description"""
"""157""","""Panjaitan""","""https://id.wikipedia.org/wiki/Panjaitan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Panjaitan (Surat Batak: ᯇᯉ᯲ᯐᯤᯖᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba."""
"""158""","""Parapat""","""https://id.wikipedia.org/w/index.php?title=Parapat_(marga)&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Failed to fetch page"""
"""159""","""Pardede""","""https://id.wikipedia.org/wiki/Pardede""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Pardede (Surat Batak: ᯇᯒ᯲ᯑᯩᯑᯩ) adalah salah satu marga Batak Toba. Leluhur marga Pardede adalah Raja Bona Ni Onan yang berasal dari daerah Balige, Toba."""
"""160""","""Pardosi""","""https://id.wikipedia.org/wiki/Pardosi""","""T""","""T""","""T""","""Y""","""T""","""Y""","""Submarga Siagian""","""Pardosi (Surat Batak: ᯇᯒ᯲ᯑᯬᯘᯪ) adalah salah satu marga Batak Toba. Leluhur marga Pardosi merupakan keturunan dari Siagian, yakni Raja Mardongan Siagian (sebagai marga Pardosi pertama) yang membuka perkampungan di Habinsaran dan menetap disana."""
"""161""","""Parhusip""","""https://id.wikipedia.org/wiki/Parhusip""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Nainggolan""","""Parhusip (Surat Batak: ᯇᯒ᯲ᯂᯮᯘᯇᯪ᯲) adalah salah satu marga Batak Toba dan merupakan sub-marga dari marga Nainggolan. Leluhur marga Parhusip adalah Parhusip, cucu kedua dari Toga Nainggolan, yang berasal dari Nainggolan, Samosir.[1]"""
"""162""","""Parmata""","""https://id.wikipedia.org/wiki/Parmata""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""163""","""Paroka""","""https://id.wikipedia.org/wiki/Paroka""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Paroka (Surat Batak: ᯇᯒᯨᯂ; disebut juga sebagai Karokaro Paroka) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""164""","""Parinduri""","""https://id.wikipedia.org/wiki/Parinduri""","""T""","""T""","""Y""","""T""","""T""","""T""","""Submarga Rangkuti""","""Parinduri adalah marga Mandailing. Sesuai dengan tarombo, marga Parinduri adalah keturunan dari Marga Rangkuti."""
"""165""","""Pasaribu""","""https://id.wikipedia.org/wiki/Pasaribu""","""Y""","""T""","""T""","""T""","""T""","""Y""","""""","""No description found"""
"""166""","""Pase""","""https://id.wikipedia.org/wiki/Pase""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Pase atau secara lengkap  Ginting Pase adalah salah satu cabang (sub-) marga Ginting, yaitu salah satu dari lima marga pada Suku Karo.[1]"""
"""167""","""Pasei""","""https://id.wikipedia.org/w/index.php?title=Pasei&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""168""","""Pasi""","""https://id.wikipedia.org/w/index.php?title=Pasi&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""170""","""Pekan""","""https://id.wikipedia.org/w/index.php?title=Pekan_(marga)&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""171""","""Pelawi""","""https://id.wikipedia.org/wiki/Pelawi""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Sembiring""","""Pelawi (Surat Batak: ᯇᯧᯞᯋᯪ; disebut juga sebagai Sembiring Pelawi) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Sembiring.[1]"""
"""172""","""Penarik""","""https://id.wikipedia.org/w/index.php?title=Penarik&action=edit&redlink=1""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Failed to fetch page"""
"""173""","""Perangin-angin""","""https://id.wikipedia.org/wiki/Perangin-angin""","""T""","""Y""","""T""","""T""","""T""","""T""","""""","""Peranginangin ( Surat Batak Karo: ) adalah salah satu dari lima marga induk Suku Karo yang disebut sebagai Merga Silima.[1][2]"""
"""174""","""Pinayungan""","""https://id.wikipedia.org/wiki/Pinayungan""","""T""","""T""","""T""","""Y""","""T""","""Y""","""""","""Pinayungan (Surat Batak: ᯇᯪᯉᯛᯮᯝᯉ᯲) adalah salah satu marga Batak yang umumnya mewarisi dua ciri kebudayaan, yakni Batak Toba dan Batak Dairi. Marga Pinayungan termasuk ke dalam kelompok marga Si Onom Hudon (bahasa Indonesia: Si enam periuk). Marga Pinayungan berasal dari Sionom Hudon Toruan, Parlilitan, Humbang Hasundutan.[1]"""
"""175""","""Pintubatu""","""https://id.wikipedia.org/wiki/Pintubatu""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Pintubatu adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur marga Pintubatu adalah Batu Raja yang merupakan anak dari Silahi Sabungan."""
"""176""","""Pohan""","""https://id.wikipedia.org/wiki/Pohan""","""Y""","""T""","""T""","""T""","""T""","""Y""","""""","""Raja Sibagot ni Pohan adalah seorang tokoh dalam marga Batak dari daerah Toba. Keturunan Sibagot ni Pohan tersebar kedalam 15 marga, sedang marga Pohan adalah merupakan marga persatuan bagi seluruh keturunan Sibagot ni Pohan. Keturunan Sibagot ni Pohan berasal dari daerah Balige, Kabupaten Toba."""
"""177""","""Porti""","""https://id.wikipedia.org/wiki/Porti""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Sinaga (Surat Batak: ᯘᯪᯉᯎ; ᯙᯫᯉᯏ) adalah salah satu marga Batak Toba dan salah satu dari 4 marga utama Batak Simalungun. Marga Sinaga menurut masyarakat Batak Toba merupakan keturunan dari Toga Sinaga, anak sulung dari Raja Lontung dan berasal dari Urat, Samosir."""
"""178""","""Pulungan""","""https://id.wikipedia.org/wiki/Pulungan""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""""","""Pulungan (Surat Batak: ᯇᯮᯞᯮᯝᯉ᯲) adalah salah satu marga Batak Angkola. Leluhur marga Pulungan bernama Ompu Tunggal Huayan Pulungan yang berasal dari Sayur Matinggi dan merupakan kerurunan dari Raja Borbor."""
"""179""","""Purba""","""https://id.wikipedia.org/wiki/Purba""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Dalam sub-etnis Toba adalah submarga Simamora""","""No description found"""
"""180""","""Rambe""","""https://id.wikipedia.org/wiki/Rambe""","""Y""","""T""","""Y""","""T""","""T""","""Y""","""Submarga Simamora""","""Rambe adalah salah satu marga Batak Toba dan marga Batak Angkola yang berasal dari Pakkat, Humbang Hasundutan. Leluhur marga Rambe ialah Tuan Sumerham yang merupakan anak pertama dari Toga Simamora."""
"""181""","""Rajagukguk""","""https://id.wikipedia.org/wiki/Rajagukguk""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Aritonang""","""Rajagukguk (Surat Batak: ᯒᯐᯎᯂᯮ᯲ᯎᯂᯮ᯲) adalah salah satu marga Batak Toba yang berasal dari Desa Aritonang, Kecamatan Muara, Kabupaten Tapanuli Utara. Rajagukguk merupakan sub-marga dari marga Aritonang yang mana leluhur marga Rajagukguk adalah anak kedua dari Toga Aritonang."""
"""182""","""Rampogos""","""https://id.wikipedia.org/w/index.php?title=Rampogos&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""183""","""Rangkuti""","""https://id.wikipedia.org/wiki/Rangkuti""","""T""","""T""","""Y""","""T""","""T""","""T""","""""","""Rangkuti (Surat Batak: ᯒᯰᯄ᯦ᯮᯖᯪ) adalah salah satu marga Mandailing. Marga Rangkuti bersama dengan marga Parinduri dan marga Mardia, merupakan keturunan dari Ompu Sutan Pane Paruhuman.[1]"""
"""184""","""Rih""","""https://id.wikipedia.org/w/index.php?title=Rih&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""185""","""Ritonga""","""https://id.wikipedia.org/wiki/Ritonga""","""Y""","""T""","""T""","""T""","""T""","""Y""","""Submarga Siregar""","""Ritonga (Surat Batak: ᯒᯪᯖᯬᯝ) adalah salah satu marga Batak Toba dan Batak Angkola yang berasal dari Garoga, Tapanuli Utara. Ritonga merupakan sub-marga dari marga Siregar yang mana leluhur marga Ritonga adalah Parisangisang Soharbangon atau yang juga dikenal sebagai Datu Nabolon, cucu dari Toga Siregar.[1]"""
"""186""","""Rumabutar""","""https://id.wikipedia.org/wiki/Rumabutar""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""No description found"""
"""187""","""Rumagorga""","""https://id.wikipedia.org/wiki/Rumagorga""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""No description found"""
"""188""","""Rumahole""","""https://id.wikipedia.org/wiki/Rumahole""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""No description found"""
"""189""","""Rumahorbo""","""https://id.wikipedia.org/wiki/Rumahorbo""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Rumahorbo (Surat Batak: ᯒᯮᯔᯂᯒᯬ᯲ᯅᯬ) adalah salah satu marga Batak Toba yang berasal dari Simanindo, Samosir.[1]"""
"""190""","""Rumaijuk""","""https://id.wikipedia.org/wiki/Rumaijuk""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""No description found"""
"""191""","""Rumapea""","""https://id.wikipedia.org/wiki/Rumapea""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Rumapea (Surat Batak: ᯒᯮᯔᯇᯩᯀ) adalah salah satu marga Batak Toba yang berasal dari Sipinggan, Nainggolan, Samosir. Leluhur marga Rumapea adalah Tuan Onggar, yang merupakan keturunan dari Tuan Situmorang.[1]"""
"""192""","""Rumasingap""","""https://id.wikipedia.org/w/index.php?title=Rumasingap&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Silalahi""","""Failed to fetch page"""
"""193""","""Rumasondi""","""https://id.wikipedia.org/w/index.php?title=Rumasondi&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Silalahi""","""Failed to fetch page"""
"""194""","""Sagala""","""https://id.wikipedia.org/wiki/Sagala""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sagala (Surat Batak: ᯘᯎᯞ) adalah salah satu marga Batak Toba yang berasal dari Samosir. Sagala adalah salah satu marga tertua di masyarakat Batak Toba, karena hanya memiliki jarak 4 generasi dengan Siraja Batak."""
"""195""","""Saing""","""https://id.wikipedia.org/wiki/Saing""","""T""","""T""","""T""","""Y""","""T""","""Y""","""""","""Saing (Surat Batak Toba: ᯘᯤᯰ) merupakan salah satu marga Batak Toba yang berasal dari Samosir.[1]"""
"""196""","""Sambo""","""https://id.wikipedia.org/wiki/Sambo""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Sambo (bahasa Rusia: самбо) adalah seni bela diri modern yang dikembangkan di Uni Soviet. Kata Sambo kadang ditulis dengan huruf besar """"SAMBO"""" dan merupakan akronim dari САМозащита Без Оружия (SAMozashchita Bez Oruzhiya), artinya """"bela diri tanpa senjata"""". Sambo didasarkan dari gulat tradisional Armenia, Georgia, Moldova, Uzbekistan, Mongolia, dan Azerbaijan."""
"""197""","""Samosir""","""https://id.wikipedia.org/wiki/Samosir""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Samosir (Surat Batak: ᯘᯔᯬᯘᯒᯪ᯲) adalah salah satu marga Batak Toba yang berasal dari Onan Runggu, Samosir. Marga Samosir dilanjutkan oleh Toga Samosir yang merupakan salah satu keturunan Si Raja Sonang."""
"""198""","""Samura""","""https://id.wikipedia.org/wiki/Samura""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Samura (Surat Batak: ᯘᯔᯬᯒ; disebut juga sebagai Karokaro Samura) adalah salah satu marga Batak Karo yang termasuk ke dalam induk marga Karokaro.[1]"""
"""199""","""Saraan""","""https://id.wikipedia.org/wiki/Saraan""","""T""","""T""","""T""","""Y""","""T""","""T""","""""","""Saraan (Surat Batak: ᯘᯒᯀᯉ᯲) adalah salah satu marga Batak Pakpak yang berasal dari Tanoh Kelasen. Marga ini termasuk ke dalam kelompok marga Marbun.[1]"""
"""200""","""Saragi""","""https://id.wikipedia.org/wiki/Saragi""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Saragi adalah salah satu marga Batak yang berasal dari Samosir."""
"""201""","""Saragih""","""https://id.wikipedia.org/wiki/Saragih""","""T""","""Y""","""T""","""T""","""Y""","""T""","""""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""202""","""Sarasan""","""https://id.wikipedia.org/w/index.php?title=Sarasan&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Damanik""","""Failed to fetch page"""
"""203""","""Saruksuk""","""https://id.wikipedia.org/wiki/Saruksuk""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Saruksuk adalah salah satu marga Batak Toba. Marga Saruksuk adalah salah satu marga keturunan Si Raja Borbor, dimana tepatnya mayoritas mereka menyatakan diri sebagai anak keempat dari Pasaribu walaupun mayoritas pihak keturunan Pasaribu menolak hal ini dan tetap berpandangan bahwa anak dari Pasaribu hanya 3 yaitu Habeahan, Bondar, dan Gorat. Marga Saruksuk umumnya ditemui di Kabupaten Tapanuli Tengah bagian utara (Sorkam, Pasaribu Tobing, hingga Barus) dimana mereka menggunakan baik Marga Saruksuk maupun marga Pasaribu."""
"""204""","""Sarumpaet""","""https://id.wikipedia.org/wiki/Sarumpaet""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sarumpaet (Surat Batak: ᯘᯒᯔᯮ᯲ᯇᯀᯖᯩ᯲) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Awalnya, nama """"Sarumpaet"""" merupakan nama persatuan marga yang dikenakan oleh marga-marga asal Laguboti ketika merantau ke daerah Silindung. Marga-marga yang mengenakan nama Sarumpaet tersebut adalah marga Hutahaean, Aruan, Hutajulu, Sibarani, Sibuea, Pangaribuan, dan Hutapea. Sebagian populasi marga-marga tersebut masih ada yang mengenakan nama """"Sarumpaet"""" sebagai nama marga, terutama kelompok keturunan Raja Parjalang Sibarani yang berasal dari Pahae di Silindung.[1]"""
"""205""","""Sehun""","""https://id.wikipedia.org/wiki/Sehun""","""T""","""T""","""T""","""Y""","""T""","""Y""","""""","""Marbun (Surat Batak: ᯔᯒ᯲ᯅᯉᯮ᯲) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""206""","""Sekali""","""https://id.wikipedia.org/w/index.php?title=Sekali&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Karo-karo""","""Failed to fetch page"""
"""207""","""Sembiring""","""https://id.wikipedia.org/wiki/Sembiring""","""T""","""Y""","""T""","""T""","""T""","""T""","""""","""Sembiring adalah salah satu dari lima marga induk Suku Karo yang disebut sebagai Merga Silima."""
"""208""","""Seragih""","""https://id.wikipedia.org/wiki/Seragih""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Ginting""","""Seragih atau secara lengkap  Ginting Seragih adalah salah satu cabang (sub-) marga Ginting, yaitu salah satu dari lima induk marga pada Suku Karo.[1]"""
"""209""","""Siadari""","""https://id.wikipedia.org/wiki/Siadari""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Siadari  adalah salah satu marga Batak Toba yang berasal dari Simanindo, Samosir."""
"""210""","""Siagian""","""https://id.wikipedia.org/wiki/Siagian""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Siagian (Surat Batak: ᯘᯪᯀᯎᯪᯀᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari daerah Balige, Toba. Pada tahun 2013, tugu persatuan marga Siagian diresmikan oleh Gubernur Sumatera Utara Gatot Pujo Nugroho di Desa Sihobuk, Bonan Dolok III, Balige.[1]"""
"""211""","""Siahaan""","""https://id.wikipedia.org/wiki/Siahaan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Siahaan (Surat Batak: ᯘᯪᯀᯂᯀᯉ᯲) adalah salah satu marga Batak Toba. Siahaan adalah marga yang dipakai oleh keturunan Ompu Somba Debata Siahaan hingga saat ini. Marga Siahaan berasal dari daerah Balige, Toba."""
"""212""","""Siallagan""","""https://id.wikipedia.org/wiki/Siallagan""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Siallagan (Surat Batak: ᯘᯪᯀᯞ᯲ᯞᯎᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Simanindo, Samosir."""
"""213""","""Sianipar""","""https://id.wikipedia.org/wiki/Sianipar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sianipar (Surat Batak: ᯘᯪᯀᯉᯪᯇᯒ᯲) adalah salah satu marga Batak Toba. Marga Sianipar berasal dari daerah Balige, Toba."""
"""214""","""Sianturi""","""https://id.wikipedia.org/wiki/Sianturi""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Simatupang""","""Sianturi (Surat Batak: ᯘᯪᯀᯉ᯲ᯖᯮᯒᯪ) adalah salah satu marga dari suku Batak Toba yang berasal dari Kecamatan Muara, Kabupaten Tapanuli Utara. Sianturi merupakan sub-marga dari marga Simatupang yang mana leluhur marga Sianturi adalah anak kedua dari Toga Simatupang."""
"""215""","""Sibarani""","""https://id.wikipedia.org/wiki/Sibarani""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sibarani (Surat Batak: ᯘᯪᯅᯒᯉᯪ) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Leluhur marga Sibarani adalah anak pertama dari Raja Sipartano Naiborngin, turunan dari Raja Sipaettua."""
"""216""","""Sibagariang/Sinagabariang""","""https://id.wikipedia.org/wiki/Sibagariang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sibagariang (Surat Batak: ᯘᯪᯅᯎᯒᯪᯀᯰ) adalah salah satu marga Batak Toba yang masuk ke dalam kelompok marga-marga keturunan Naipospos."""
"""217""","""Siboro""","""https://id.wikipedia.org/wiki/Siboro""","""T""","""T""","""T""","""T""","""Y""","""Y""","""Submarga Purba""","""Siboro (Surat Batak: ᯘᯪᯅᯬᯒᯬ) adalah salah satu marga Batak. Marga ini terdapat dalam masyarakat Batak Pakpak dengan nama marga """"Cibero"""", masyarakat Batak Toba dengan nama marga """"Siboro"""", masyarakat Batak Karo dengan nama marga """"Tarigan Sibero"""", dan masyarakat Batak Simalungun dengan nama marga """"Purba Siboro"""". Marga ini juga ada di Singkil, Alas dan Gayo dengan nama marga """"Cibro""""."""
"""218""","""Sibero""","""https://id.wikipedia.org/w/index.php?title=Sibero&action=edit&redlink=1""","""T""","""Y""","""T""","""T""","""T""","""T""","""Submarga Tarigan""","""Failed to fetch page"""
"""219""","""Sibuea""","""https://id.wikipedia.org/wiki/Sibuea""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sibuea (Surat Batak: ᯘᯪᯅᯮᯀᯩᯀ) adalah salah satu marga Batak Toba yang berasal dari Laguboti, Toba. Sibuea bersaudara dengan Sibarani yang merupakan dua anak dari Raja Sipartano Naiborngin, turunan dari Raja Sipaettua. Selain itu marga Sibuea mengikat janji (marpadan) sebagai seibu (saina) dengan marga Panjaitan."""
"""220""","""Siburian""","""https://id.wikipedia.org/wiki/Siburian""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Simatupang""","""Siburian (Surat Batak: ᯘᯪᯅᯮᯒᯪᯀᯉ᯲) adalah salah satu marga Batak Toba yang berasal dari Muara, Tapanuli Utara. Siburian merupakan sub-marga dari marga Simatupang yang mana leluhur marga Siburian adalah anak ketiga dari Toga Simatupang."""
"""221""","""Sidauruk""","""https://id.wikipedia.org/wiki/Sidauruk""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sidauruk (Surat Batak: ᯘᯪᯑᯥᯒᯂᯮ᯲) adalah salah satu marga Batak yang berasal dari Simanindo, Samosir."""
"""222""","""Sidabalok""","""https://id.wikipedia.org/wiki/Sidabalok""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sidabalok  adalah salah satu marga Batak Toba yang berasal dari Simanindo, Samosir."""
"""223""","""Sidabutar""","""https://id.wikipedia.org/wiki/Sidabutar""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sidabutar dapat mengacu pada hal ini:"""
"""224""","""Sidabungke""","""https://id.wikipedia.org/wiki/Sidabungke""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sidabungke (Surat Batak: ᯘᯪᯑᯅᯮᯰᯂᯩ; lebih lazim ditulis sebagai Sidabukke) adalah salah satu marga Batak Toba. Leluhur marga Sidabukke merupakan keturunan dari Tuan Sorba Di Julu (yang bergelar Raja Nai Ambaton)."""
"""225""","""Sidadolog""","""https://id.wikipedia.org/w/index.php?title=Sidadolog&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""Failed to fetch page"""
"""226""","""Sidagambir""","""https://id.wikipedia.org/w/index.php?title=Sidagambir&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""Failed to fetch page"""
"""227""","""Sidagurgur""","""https://id.wikipedia.org/w/index.php?title=Sidagurgur&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""228""","""Sidahambang""","""https://id.wikipedia.org/w/index.php?title=Sidahambang&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""229""","""Sidahapintu""","""https://id.wikipedia.org/w/index.php?title=Sidahapintu&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""230""","""Sidahoro""","""https://id.wikipedia.org/wiki/Sidahoro""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Sinaga (Surat Batak: ᯘᯪᯉᯎ; ᯙᯫᯉᯏ) adalah salah satu marga Batak Toba dan salah satu dari 4 marga utama Batak Simalungun. Marga Sinaga menurut masyarakat Batak Toba merupakan keturunan dari Toga Sinaga, anak sulung dari Raja Lontung dan berasal dari Urat, Samosir."""
"""231""","""Sidalogan""","""https://id.wikipedia.org/w/index.php?title=Sidalogan&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""232""","""Sidapulou""","""https://id.wikipedia.org/wiki/Sidapulou""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Saragih""","""Saragih (Surat Batak Simalungun:  ᯙᯓᯏᯫᯱ) adalah salah satu dari empat kelompok marga utama Batak Simalungun. Leluhur awal marga Saragih menempati wilayah Partuanan Raya dan Partuanan Silampuyang (sekarang merupakan bagian dari Kota Pematangsiantar dan Kecamatan Siantar, Simalungun).[1] Tersebar ke Taneh Karo sebagai Ginting Seragih"""
"""233""","""Sidari""","""https://id.wikipedia.org/wiki/Sidari""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Samosir""","""Samosir (Surat Batak: ᯘᯔᯬᯘᯒᯪ᯲) adalah salah satu marga Batak Toba yang berasal dari Onan Runggu, Samosir. Marga Samosir dilanjutkan oleh Toga Samosir yang merupakan salah satu keturunan Si Raja Sonang."""
"""234""","""Sidasuha""","""https://id.wikipedia.org/wiki/Sidasuha""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""Sidasuha (Surat Batak: ᯙᯫᯑᯙᯮᯃ; disebut juga sebagai Purba Dasuha) adalah salah satu marga Batak Simalungun yang berasal dari Panei, Simalungun. Marga Sidasuha merupakan turunan dari marga Purba.[2][3] Pada umumnya, keturunan Sidasuha menggunakan nama Purba sebagai nama marga."""
"""235""","""Sidasuhut""","""https://id.wikipedia.org/w/index.php?title=Sidasuhut&action=edit&redlink=1""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Sinaga""","""Failed to fetch page"""
"""236""","""Sidauruk""","""https://id.wikipedia.org/wiki/Sidauruk""","""T""","""T""","""T""","""T""","""Y""","""Y""","""""","""Sidauruk (Surat Batak: ᯘᯪᯑᯥᯒᯂᯮ᯲) adalah salah satu marga Batak yang berasal dari Simanindo, Samosir."""
"""237""","""Sidebang""","""https://id.wikipedia.org/wiki/Sidebang""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sidebang adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur marga Sidebang adalah Debang Raja yang merupakan anak dari Silahi Sabungan."""
"""238""","""Sigalingging""","""https://id.wikipedia.org/wiki/Sigalingging""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sigalingging (Surat Batak: ᯘᯪᯎᯞᯪᯰᯎᯪᯰ) adalah salah satu marga Batak Toba yang berasal dari Sait Nihuta, Pangururan, Samosir."""
"""239""","""Sigiro""","""https://id.wikipedia.org/wiki/Sigiro""","""T""","""T""","""T""","""T""","""T""","""Y""","""""","""Sigiro adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur marga Sigiro adalah Raja Sigiro yang merupakan anak dari Ompu Batu Raja dan merupakan keturunan Silahisabungan."""
"""240""","""Sigukguhi""","""https://id.wikipedia.org/wiki/Sigukguhi""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Manalu""","""Sigugukhi merupakan marga yang berasal dari desa Tipang, Baktiraja, Humbang Hasundutan dan juga putra ketiga dari Mangara Robean yang merupakan putra dari Manalu."""
"""241""","""Sigumonrong""","""https://id.wikipedia.org/wiki/Sigumonrong""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""Sigumonrong (Surat Batak: ᯙᯫᯏᯮᯕᯉᯬ᯳ᯓᯬᯰ; ditulis juga sebagai Sigumondrong) adalah salah satu marga Batak Simalungun yang berasal dari Cingkes, Dolok Silau, Simalungun. Marga Sigumonrong merupakan turunan dari marga Purba.[1]"""
"""242""","""Sihala""","""https://id.wikipedia.org/wiki/Sihala""","""T""","""T""","""T""","""T""","""Y""","""T""","""Submarga Purba""","""No description found"""
"""243""","""Sihaloho/Haloho""","""https://id.wikipedia.org/wiki/Sihaloho""","""T""","""T""","""T""","""T""","""T""","""Y""","""Submarga Silalahi""","""Sihaloho (Surat Batak: ᯘᯪᯂᯞᯬᯂᯬ) adalah salah satu marga Batak Toba yang berasal dari Silalahi Nabolak. Leluhur Marga Sihaloho adalah Loho Raja, anak sulung dari Raja Silahisabungan. [1][2]"""
